time,location,activity,name,file_num
19:00 PM,Kitchen,Opening a safe,Mrs. White,18
19:10 PM,Pantry,Inspecting a family heirloom,Mrs. White,18
19:20 PM,Kitchen,Inspecting a family heirloom,Mrs. White,18
19:30 PM,Dining Room,Opening a safe,Mrs. White,18
19:40 PM,Kitchen,Looking in drawers,Mrs. White,18
19:50 PM,Kitchen,Talking about skeet shooting,Mrs. White,18
20:00 PM,Kitchen,Polishing household items,Mrs. White,18
20:10 PM,Kitchen,Polishing household items,Mrs. White,18
20:20 PM,Pantry,Inspecting a family heirloom,Mrs. White,18
20:30 PM,Kitchen,Talking about skeet shooting,Mrs. White,18
20:40 PM,Pantry,Opening a safe,Mrs. White,18
20:50 PM,Kitchen,Swapping drinks unnoticed,Mrs. White,18
21:00 PM,Pantry,Talking about skeet shooting,Mrs. White,18
21:10 PM,Kitchen,Inspecting a family heirloom,Mrs. White,18
21:20 PM,Kitchen,Polishing household items,Mrs. White,18
21:30 PM,Dining Room,Opening a safe,Mrs. White,18
21:40 PM,Kitchen,Polishing household items,Mrs. White,18
21:50 PM,Kitchen,Observing guests from afar,Mrs. White,18
22:00 PM,Pantry,Tying decorative knots,Mrs. White,18
22:10 PM,Kitchen,Tampering with drinks,Mrs. White,18
19:00 PM,Kitchen,Chatting with guests,Mrs. Peacock,15
19:10 PM,Kitchen,Bringing in the shopping,Mrs. Peacock,15
19:20 PM,Kitchen,Retrieving items from storage,Mrs. Peacock,15
19:30 PM,Pantry,Retrieving items from storage,Mrs. Peacock,15
19:40 PM,Pantry,Bringing in the shopping,Mrs. Peacock,15
19:50 PM,Kitchen,Taking her dog for a walk,Mrs. Peacock,15
20:00 PM,Dining Room,Bringing in the shopping,Mrs. Peacock,15
20:10 PM,Living Room,Bragging about their Birkin,Mrs. Peacock,15
20:20 PM,Bathroom,Retrieving items from storage,Mrs. Peacock,15
20:30 PM,Bathroom,Chatting with guests,Mrs. Peacock,15
20:40 PM,Living Room,Inspecting wine bottles,Mrs. Peacock,15
